Time (minutes),Screen Brightness,App Usage,Network Activity,Power (W),SOC
1440,0.1,0.2,0.1,0.81,0.9595761491101822
1460,0.1,0.2,0.1,0.81,0.9593170635499224
1480,0.1,0.2,0.1,0.81,0.959058047942764
1500,0.1,0.2,0.1,0.81,0.9587991022698193
1520,0.1,0.2,0.1,0.81,0.9585402265122065
1540,0.1,0.2,0.1,0.81,0.9582814206510482
1560,0.1,0.2,0.1,0.81,0.9580226846674724
1580,0.1,0.2,0.1,0.81,0.9577640185426122
1600,0.1,0.2,0.1,0.81,0.9575054222576057
1620,0.1,0.2,0.1,0.81,0.9572468957935961
1640,0.1,0.2,0.1,0.81,0.9569884391317318
1660,0.1,0.2,0.1,0.81,0.9567300522531662
1680,0.1,0.2,0.1,0.81,0.9564717351390578
1700,0.1,0.2,0.1,0.81,0.9562134877705702
1720,0.1,0.2,0.1,0.81,0.9559553101288722
1740,0.1,0.2,0.1,0.81,0.9556972021951374
1760,0.1,0.2,0.1,0.81,0.9554391639505447
1780,0.1,0.2,0.1,0.81,0.9551811953762781
1800,0.1,0.2,0.1,0.81,0.9549232964535265
1820,0.1,0.2,0.1,0.81,0.954665467163484
1840,0.1,0.2,0.1,0.81,0.9544077074873498
1860,0.1,0.2,0.1,0.81,0.9541500174063282
1880,0.1,0.2,0.1,0.81,0.9538923969016285
1900,0.1,0.2,0.1,0.81,0.9536348459544651
1920,0.1,0.2,0.1,0.81,0.9533773645460574
1940,0.1,0.2,0.1,0.81,0.9531199526576299
1960,0.1,0.2,0.1,0.81,0.9528626102704124
1980,0.1,0.2,0.1,0.81,0.9526053373656393
2000,0.1,0.2,0.1,0.81,0.9523481339245506
2020,0.1,0.2,0.1,0.81,0.952090999928391
2040,0.1,0.2,0.1,0.81,0.9518339353584103
2060,0.1,0.2,0.1,0.81,0.9515769401958636
2080,0.1,0.2,0.1,0.81,0.9513200144220108
2100,0.1,0.2,0.1,0.81,0.9510631580181168
2120,0.1,0.2,0.1,0.81,0.950806370965452
2140,0.1,0.2,0.1,0.81,0.9505496532452913
2160,0.1,0.2,0.1,0.81,0.9502930048389151
2180,0.1,0.2,0.1,0.81,0.9500364257276086
2200,0.1,0.2,0.1,0.81,0.9497799158926622
2220,0.1,0.2,0.1,0.81,0.9495234753153712
2240,0.1,0.2,0.1,0.81,0.9492671039770361
2260,0.1,0.2,0.1,0.81,0.9490108018589622
2280,0.1,0.2,0.1,0.81,0.9487545689424604
2300,0.1,0.2,0.1,0.81,0.9484984052088459
2320,0.1,0.2,0.1,0.81,0.9482423106394395
2340,0.1,0.2,0.1,0.81,0.9479862852155669
2360,0.1,0.2,0.1,0.81,0.9477303289185587
2380,0.1,0.2,0.1,0.81,0.9474744417297507
2400,0.1,0.2,0.1,0.81,0.9472186236304837
2420,0.1,0.2,0.1,0.81,0.9469628746021035
2440,0.1,0.2,0.1,0.81,0.9467071946259609
2460,0.1,0.2,0.1,0.81,0.9464515836834119
2480,0.1,0.2,0.1,0.81,0.9461960417558174
2500,0.1,0.2,0.1,0.81,0.9459405688245434
2520,0.1,0.2,0.1,0.81,0.9456851648709608
2540,0.1,0.2,0.1,0.81,0.9454298298764456
2560,0.1,0.2,0.1,0.81,0.945174563822379
2580,0.1,0.2,0.1,0.81,0.944919366690147
2600,0.1,0.2,0.1,0.81,0.9446642384611407
2620,0.1,0.2,0.1,0.81,0.9444091791167561
2640,0.1,0.2,0.1,0.81,0.9441541886383946
2660,0.1,0.2,0.1,0.81,0.9438992670074623
2680,0.1,0.2,0.1,0.81,0.9436444142053703
2700,0.1,0.2,0.1,0.81,0.9433896302135348
2720,0.1,0.2,0.1,0.81,0.9431349150133772
2740,0.1,0.2,0.1,0.81,0.9428802685863236
2760,0.1,0.2,0.1,0.81,0.9426256909138052
2780,0.1,0.2,0.1,0.81,0.9423711819772584
2800,0.1,0.2,0.1,0.81,0.9421167417581245
2820,0.1,0.2,0.1,0.81,0.9418623702378498
2840,0.1,0.2,0.1,0.81,0.9416080673978856
2860,0.1,0.2,0.1,0.81,0.9413538332196881
